,Tweets,,,
18,"On the National Day of China, I extend our heartiest greetings to H.E. President Xi Jinping, H.E. Premier Li Keqiang & the people of China. The peaceful rise of China as the second largest economy & paramount global power is a source of stability in a perpetually changing world.",,,
19,Listening to the heart-wrenching tales of the earthquake victims in Adiyaman  was a deeply painful experience. The scale of destruction as far as one could see was overwhelming. I met a young boy who lost both his parents. May Allah help the victims overcome this ordeal!,,,
20,پی ٹی آئی فارن فنڈنگ کیس میں الیکشن کمشن کا فیصلہ عمران خان پر فرد جرم ہے کہ انہوں نے جھوٹے بیان حلفی جمع کرائے اور غیرقانونی غیرملکی فنڈنگ وصول کرکے آئین پاکستان کی خلاف ورزی کی ۔ وہ ایک بار پھر جھوٹے ترین شخص ثابت ہوئے ہیں ۔ قوم کو غیرملکی فنڈنگ کے سیاسی اثرات پر غور کرنا چاہئے,,,
21,عمران نیازی کی ہر تقریر ان کے کسی عوامی عہدے کیلئے نا اہل ہونے کا ثبوت ہے. PTI نے ان کی براہِ راست سر پرستی میں قومی اداروں پر کیچڑ اچھالنے کی منظم مہم چلائی، جس سے پاکستان کو نا قابلِ تلافی نقصان پہنچا. اقتدار کی ہوس میں عمران نیازی میکاویلین سیاست کا شرمناک باب رقم کر رہا ہے.,,,
22,I wish H.E. President Biden speedy and complete recovery from corona.,,,
23,Grieved to learn about the loss of precious human lives in Bangladesh and India due to floods. My thoughts and prayers are with the affected families.,,,
24,میں نے کل سندھ کے سیلاب زدہ علاقوں کا دورہ کیا جہاں اس وقت بھی لاکھوں معصوم بچے، بزرگ اور خواتین سخت سردی اوربےسروسامانی کی حالت میں موسمیاتی تبدیلی کے ناکردہ گناہ کی سزا کاٹ رہے ہیں۔ ہم سب کو مصیبت میں گھرے ان پاکستانیوں کا اس مشکل وقت میں سہارا بنے رہنے کی ضرورت ہے۔,,,
25,"Haha … I believe it from the core of my heart. And, not just in cricket, we will bounce back in every other field too, InshaAllah.",,,
26,یوم شہدائے کشمیر UN کے دئیے ہوئے استصواب رائے کے ناقابل تنسیخ حق کے حصول کے لئے کشمیریوں کی عظیم قربانیوں کی یاد دہانی کا دن ہے۔ کشمیریوں نے بھارتی غاصبانہ قبضے سے نجات کے لئے نسل در نسل بے مثال قربانیاں دے کر آزادی کی شمع کو روشن رکھا اور بھارتی غلامی قبول کرنے سے انکار کیا ہے۔,,,
27,اساتذہ کی پیشہ ورانہ تربیت کیلئےڈیجیٹل پروگرام اورطلباء کیلئےٹیلی اسکول ایپ کاافتتاح کرکےمیں نےآج شعبہ تعلیم میں ڈیجٹلائیزیشن سےجدت لانے کی بنیاد رکھ دی ہے۔ م نسل نوکو پتھروں اور غلیلوں کی بجائےتعلیم کے زیور سےلیس کرکےملک میں انتشار کی جگہ تعلیم و ہنر کی روشنی پھیلائیں گے۔,,,
28,"Thank you President 
@JoeBiden
 for highlighting the plight of the flood victims in Pakistan and urging the world for an immediate response, as my country is facing the ravages of unprecedented floods. The calls of stranded women & children for help need to be heeded to. #UNGA",,,
29,"Always a pleasure to meet my friend H.E. 
@antonioguterres
. Today we reviewed the task of rehabilitation. I thanked SG for creating UN inter-agency team to prepare a comprehensive reconstruction plan. His empathetic leadership is key to addressing climate change.#COP27 
@COP27P
 ",,,
30,"World Population Day, being observed today, underlines our shared challenge of rendering populations into demographic dividends through policies that ensure socio-economic rights. We r working toward aligning our development priorities with needs of our people on long-term basis.",,,
31,"Met members of international media today to brief them about flood ravages in Pakistan.The devastation is evidence of seriousness of the threat posed by climate change.Despite having less than 1% share in carbon emission, we are ranked 8th in terms of exposure to climate hazards.",,,
32,"Strongly condemn terrorist attack on the security forces personnel from across the border in Dewagar, N Waziristan. Our three soldiers sacrificed their lives in defending the motherland.  These sacrifices are a message that no one should dare cast an evil eye on Pakistan.",,,
33,"Personally, I am deeply touched by the Chinese adherence to remarkable work ethic & national discipline. This explains how China has been able to lift 800 million people out of acute poverty. At this stage in our national life, work, work & work alone can lift us out of crises.",,,
34,"While visiting flood-hit shelter camps along with UN Secretary General 
@antonioguterres
 in Balochistan today, we met a family that Allah had blessed with a baby boy a night before. I saw this birth as a sign of hope, regeneration & renewal amid an unfolding human tragedy.",,,
35,آج بلوچستان کےسیلاب زدہ علاقوں کےدورے کےدوران مجھےبتایا گیاکہ کمراٹ میں سیلاب میں پھنسے لوگوں بشمول طالبِعلموں کوالحمداللّہ نکال لیاہے۔کل جیسے ہی یہ میرے علم میں لایا گیاتو میں نےتمام تر وسائل استعمال کرکےانکے ریسکیو کی ہدایت کی۔اس کیلئےپاک آرمی سمیت تمام اہلکارشاباش  کےمستحق ہیں,,,
36,موسمیاتی تبدیلی موجودہ دور کی ایک ایسی حقیقت ہے جس کے نتیجے میں پاکستان جیسے ترقی پزیر ممالک شدید متاثر ہورہے ہیں. حالیہ بارشیں اور سیلابی صورتحال اسی سلسلے کی ایک کڑی ہیں. حکومت اپنے ترقیاتی اہداف کو موسمیاتی تبدیلی کی ضروریات سے ہم آہنگ کر رہی ہے.,,,
37,"At Apex Committee meeting today, civil & military leadership expressed unflinching resolve to protect the people of Pakistan at any cost. Those who attacked innocent citizens will be brought to justice. We will not allow anti-terror gains to be reversed. 1/3",,,
38,"Let me make two things absolutely clear here. First, it is a direct tax on the income of people & industries falling in certain categories of income. Secondly, the proceeds from this measure will be spent in the most productive of ways for people facing financial constraints.",,,
39,"NSC took some major decisions yesterday after hours-long deliberations. Two of them stand out: State of Pakistan will adopt zero tolerance policy for terrorists challenging its writ. Peace is non-negotiable. Two, economic roadmap will revive economy & provide relief to the people",,,
40,"We gratefully acknowledge the aid commitment of € 88 million by Germany  during Resilient Pakistan  Conference to help Pakistan's flood recovery efforts. With the global solidarity and partnership, we are resolved to build back better with resilience.",,,
41,"Brilliant effort, Team Pakistan  . Great game!",,,
42,"During my foreign visits, I have focused my time & energy on repairing the damage done to our relations with friendly countries during the past 4 years. We have prioritized areas for mutual cooperation in the fields of IT, commerce, finance, energy, infrastructure & investment.",,,
43,"We express our profound gratitude to H.H. President Sheikh 
@MohamedBinZayed
 for his decision to roll over $2 billion & provide additional $1 billion. This support will help us tide over economic difficulties. We are deeply touched by kind gesture of our Emirati brothers & sisters",,,
44,"Polio is a deadly virus that disables children, stunts their future & undermines national progress. Unfortunate that polio still exists in our country. On #WorldPolioDay today, I reiterate my government's unflinching resolve to get rid of this virus through renewed efforts.",,,
45,"Just reached Doha  on the invitation of my brother HH Sheikh Tamim Bin Hamad Al-Thani, the Amir of Qatar to attend the 5th UN Conference on Least Developed Countries (LDCs). I will share Pakistan's perspective on the socio-economic challenges facing LDCs in Asia & Africa. 1/2",,,
46,"Foreign investment is critical to our efforts to stabilize the economy. In my meeting with leading Turkish investors today, I invited them to invest in the energy & infrastructure sectors. My government will be there to facilitate them proactively.",,,
47,حال ہی میں منظر عام پر آنے والی آڈیو ٹیپ عمران خان کی اصلیت اور دوہرے معیار کو بے نقاب کرتی ہے۔ اپنے دعووں کے برعکس، انہوں نے خود کو اور اپنی حکومت کو بچانے کے لیے این آر او مانگا۔ تمام کوششیں ناکام ہونے کے بعد غیر ملکی سازش کی جعلی کہانی گھڑی گئی۔ ان کا جھوٹ بے نقاب ہو چکا ہے۔,,,
48,"Our citizens will be able to notarize their important legal documents such as marriage certificate, degrees and more via MOFA designated officials in Pakistan which will be internationally accepted without the need for any further verification.",,,
49,Deeply saddened by the martyrdom of three soldiers of Pakistan Army & three children in a suicide attack in Miran Shah. Blood of our soldiers & citizens is a debt on us that we will repay by eradicating terrorism from our country. Heartfelt condolences to the bereaved families.,,,
50,"On behalf of the entire Pakistani nation, I congratulate President Xi Jinping on his reelection as CPC General Secretary for the 3rd term. It is a glowing tribute to his sagacious stewardship and unwavering devotion for serving the people of China.  ",,,
51,"Revised UN appeal for $816 million for flood victims underscores need for continued global engagement. With food & health crisis becoming graver,we need to ramp up action. Thank you 
@antonioguterres
 for your leadership in articulating needs of people affected by disastrous floods",,,
52,"It was a pleasure to meet and nominate Faisal Baloch for the conferment of Tamgha-e-Shujaat for his act of bravery. A real-life hero, he risked his own life to save that of countless others. I commend his selfless act of courage.",,,
53,"In an interactive session with students of Harvard Business School today, my core argument was that the state of economy is directly linked to political stability. My economic action plan has 3 prongs: revitalization of agriculture, promotion of IT & making economy export-driven.",,,
54,پاکستان نہ صرف دھشگردی کو جڑ سے اکھاڑ پھینکے گا بلکہ دھشتگردوں کو انکے کیفرِ کردار تک پہنچا کر دم لے گا۔ گزشتہ دو دہائیوں میں اس قوم نے اپنے لہو سے دھشتگردی کا ڈٹ کر مقابلہ کیا، یہ عظیم قوم آزمائش کی اس گھڑی میں بھی اس ناسور کو ہمیشہ کیلئے ختم کرنے کیلئے پرعزم ہے۔ 2/2,,,
55,"Federal cabinet today discussed in detail the multifaceted challenges posed by climate change. The stakes for affirmative action could not be higher for us, as Pakistan is among the top 10 countries exposed to climate change. The challenges are massive & require urgent attention.",,,
56,"Over the years, Turkiye's impressive economic strides under President Erdogan are acknowledged by the world. Pakistan seeks to deepen its multifaceted ties by further exploring the vast untapped potential in trade, commerce & industry.  ",,,
57,پاکستان کے نوجوانوں کو آج فکر اور فرمودات اقبال سے راہنمائی لینے کی ضرورت ہے۔ اسی لئے ماہ نومبر کے ہر دن کو ہم فکر اقبال کے فروغ کا ذریعہ بنائیں گے۔ اقبال شناس شخصیات پر مشتمل قومی کمیٹی یہ فرض انجام دے رہی ہے۔ ایک نوجوان کا طرزعمل کیا ہونا چاہئے، یہ ہمیں حضرت اقبال سے سیکھنا ہے۔,,,
58,"On behalf of the government & people of Pakistan  , I extend our best wishes to His Highness Sheikh Tamim Bin Hamad Al-Thani, the Emir & brotherly people of Qatar  for hosting the football World Cup. The world will experience the best of Qatar's history, culture & hospitality",,,
59,"Pakistan's future lies in human capital formation with a focus on education, health & justice. Anything deviating from this path is anti-people.All reforms, no matter the time they take & pain they carry, should converge on this single point.This is where politics should compete.",,,
60,No words are enough to adequately condemn the abhorrable act of desecration of the Holy Quran by a right-wing extremist in Sweden. The garb of the freedom of expression cannot be used to hurt the religious emotions of 1.5 billion Muslims across the world. This is unacceptable.,,,
61,Sharing with you some of the key highlights of my speech delivered at the pre-budget business conference:,,,
62,"As part of efforts to ease difficulties of people of Gwadar, federal government has decided to provide solar panels for domestic consumers. I have also directed for the completion of work on transmission lines in South Balochistan by Dec & a plan for comprehensive off-grid system",,,
63,Humanity faces grave challenge of climate change. Observance of Earth Day is a clarion call for coordinated global response to protect our planet's natural ecosystem. Window for such global action is fast closing. We must move swiftly towards green & sustainable development model,,,
64,انسانیت کو درپیش مصائب و مشکلات سے نکالنے کیلئے حضرت امام حسین ؓ اور اہلِ بیت کا لازوال کردار مشعلِ راہ ہے. امامِ عالی مقام کے صبر، وفاداری، اتحاد اور بردباری جیسے سنہری اصولوں کو باطل کے انتشار، نفرت اور آپسی تقسیم پر ابدی فوقیت حاصل رہے گی.,,,
65,"Happy to receive my brother President Emomali Rahmon at PM House today. We had very productive discussions & agreed to scale up the existing level of cooperation by focusing on energy, trade & security. We have the resolve to leverage our relations for the good of two countries.",,,
66,"Heading back to Pakistan today after the conclusion of my important trip to Qatar. Thank you to the government & people of Qatar, especially my brother HH Sheikh 
@TamimBinHamad
 for the warm welcome & excellent hospitality. Two aspects of the visit are noteworthy:",,,
67,آج بابائےقوم قائداعظم محمدعلی جناح کا74 یومِ وفات ہے.پوری قوم آج کےدن قائدِاعظم کی مسلمانانِ برصغیر کےحقوق کی جنگ میں انتھک جدوجہد،دوراندیشی اورقائدانہ صلاحیتوں پرانہیں خراجِ عقیدت پیش کرتی ہے.قائدِ اعظم کی قیادت کےبغیر مسلمانوں کیلئےآزاد ریاست کاخواب کبھی شرمندہءِ تعبیرنہ ہوتا,,,
68,Turnaround Pakistan Conference where I will speak shortly is an expression of our intent to encourage our best brains to deliberate on the economic challenges & share their perspectives. We are determined to get Pakistan out of economic troubles on to the path of stabilisation.,,,
69,"The entire Pakistani nation joins me in praying for the early recovery and complete health of His Majesty King Salman bin Abdulaziz, the Custodian of Two Holy Mosques.  ",,,
70,فارن فنڈنگ کیس بہترین مثال ہےکہ کیسے لاڈلے کوتحفظ دیاجارہاہے۔وزیراعظم نوازشریف کو بیٹے سے تنخواہ نہ لینےکےالزام پر نااہل کردیاگیا جبکہ لاڈلے کوکھلی چھوٹ دی گئی اور 8 سال سےفیصلہ نہیں آیا۔فارن فنڈنگ کیس رکوانے کے لئے اسلام آباد ہائیکورٹ میں9رٹ پٹیشنز ہوئیں جبکہ50 بار التوا دیا گیا,,,
71,"Merci Président Macron 
@EmmanuelMacron
 pour votre participation et le soutien sans faille de la France au Pakistan. Grâce à la solidarité internationale et au partenariat nous rebâtirons mieux avec résilience. Le peuple est reconnaissant au peuple  de son amitié",,,
72,"Highly grateful to Board of Asian Development Bank for a commitment of $ 1.5 billion at Resilient Pakistan Conference for recovery, rehabilitation & reconstruction post-floods. We also acknowledge ADB's consistent support during Covid-19, which helped increase social protection.",,,
73,"To the resilient Pakistani nation

In 2022, the one-third of Pakistan paid the heavy price due to climate change and for no fault of theirs.

Together we will bounce back as a nation, انشاءاللّہ",,,
74,"I bow my head in humility before Allah (SWT) for my vindication. For 3 long years, Imran & his minions went to any limit to assassinate my character. In their smear campaign, they didn't bother if their actions brought a bad name to & damaged its relations with friendly country",,,
75,"Grateful to my brother His Highness Sheikh Mohammed Bin Zayed Al-Nahyan 
@MohamedBinZayed
for the investment that the UAE is going to make in various sectors of Pakistan. Both brotherly countries are very keen to further strengthen their multifaceted relationship.",,,
76,ضیاء صاحب کی شخصیت کمال خصوصیات کی حامل تھی۔تھیٹر، براڈکاسٹنگ اور فنِ تقریر میں اپنی بےمثال مہارت اور آواز کے جادو سےانہوں نےنصف صدی سےزائد عرصہ تک لوگوں کو مسحور کئےرکھا۔ان کے زیر تربیت رہنے والے سینکڑوں طلباء ان کی میراث کو زندہ رکھیں گے۔  اللہ تعالی ان کے درجات بلند کریں۔ آمین,,,
77,قائد مسلم لیگ ن محمد نواز شریف کا سیلاب متاثرین کی امداد کیلئے قوم سے خطاب۔,,,
78,بیٹی مریم نواز شریف کے خلاف قابل افسوس زبان درازی پر پوری قوم خاص طور پر خواتین پرزور مذمت کریں۔ کم ظرفی کے اظہار سے ملک وقوم کے خلاف آپ کے جرائم چھپ نہیں سکتے۔ مسجد نبوی کی حرمت و ناموس کا پاس نہ کرنے والوں سے ماؤں، بہنوں، بیٹیوں کی عزت وتکریم کی کیا توقع ہوسکتی ہے۔,,,
79,"Congratulations 
@AlboMP
 on election as the next Prime Minister of Australia. The victory of 
@AustralianLabor
 represents the trust reposed in your leadership by the Australian people. I look forward to working with you to further strengthen Pakistan-Australia friendship.  ",,,
80,سیلاب سےمتاثرہ شاہراہوں اور پُلوں کی تعمیر و بحالی کاکام تیزی سے جاری ہے۔ پہلی ترجیح ملک کےتمام حصوں کارابطہ بحال کرناتھی۔ چیئرمین NHA خرم آغا، D.G FWO میجرجنرل کمال اظفر اورانکی ٹیمزلائقِ تحسین ہیں کہ قلیل مدت میں تمام بڑی شاہراہیں بشمول قراقرم ہائی وےٹریفک کیلئےکھول دی گئی ہیں۔,,,
81,"Time for presentations is over. Time for action is now. Gwadar is not just about infrastructure development; being part of CPEC, it has political, economic & strategic value. Turning Balochistan's backwardness into prosperity is our collective responsibility & my mission.",,,
82,"With access to several areas of the country virtually cut off due to flash floods, this anti-polio campaign has become all the more challenging. However, complacency is not an option. Grateful to our global partners, particularly Bill & Melinda Gates Foundation for their support.",,,
83,I am deeply saddened by the shocking news of journalist Arshad Sharif's tragic death. May Allah SWT grant him a place in Heaven. My deep condolences and prayers for the bereaved family.,,,
84,"Mother is not just a person; she is an emotion, a reservoir of love & an embodiment of sacrifice & selflessness. Words just can't capture the depth of motherliness. No matter how old one grows, her loving arms & presence can ease your worries. May Allah bless all the mothers ",,,
85,Key points of my address at the Future Investment Initiative Summit in Riyadh  #FII6,,,
86,"President Zardari has tested positive for Covid. He is fully vaccinated,  boosted, isolating with mild symptoms and undergoing treatment. We are praying for his swift recovery.",,,
87,A life spent in the service of others is a life well lived. Dr Ruth Pfau made Pakistan her home & served the people with heart and soul. Role models like her reinforce our faith in  humanity.,,,
88,Deeply grieved at the loss of young lives in a horrific suicide attack at a learning center in Kabul. Words can't express this sheer barbarism. We send our deepest condolences & most sincere sympathies to the bereaved families & people of Afghanistan.,,,
89,"Federal Cabinet has approved changes in visa regime for Afghan nationals. Now our embassies will process their visa applications on the basis of their current nationality. Secondly, Afghan drivers & transporters will get multiple visa for a period of up to 1 year within 48 hours.",,,
90,"Sad to hear that Maryam Baiti & Capt. Safdar have been diagnosed with Covid. My profound prayers and best wishes are with them for an early recovery. The way she led the PML-N political campaign has made all of us proud. 

Get well soon, Gurriya & Safdar.",,,
91,عدم اعتماد کے معاملے پر معزز سپریم کورٹ کے تفصیلی فیصلے نے عمران خان کے جھوٹ اور پروپیگنڈے کو بے نقاب کر دیاہے۔ عمران خان نے آئین شکنی کرتے ہوئے حکومت کی تبدیلی کو جس طرح سازشی بیانے کا رنگ دینے کے لئےجھوٹ گھڑا، وہ انتہائی قابل شرم ہے۔  سب کو عدالت کا یہ فیصلہ ضرور پڑھنا چاہئے۔,,,
92,Today marks the 30th anniversary of demolition of historic Babri Mosque بابری مسجد. A process of revisionism put into motion by Hindu extremists has now become a living nightmare for Indian Muslims & other minorities. World needs to take note of rising religious hatred in India.,,,
93,Nation is deeply grieved on the martyrdom of Lt. General Sarfraz Ali & 5 other officers of Pakistan Army. They were doing a sacred duty of providing relief to flood affectees. Will remain eternally indebted to these sons of soil. My heartfelt condolences to the bereaved families!,,,
94,Just had excellent meeting with HRH Cown Prince Mohammed Bin Salman. We agreed to upgrade & enhance bilateral ties & fraternal bonds b/w  &  to new heights in line with the requirements of changing world. I told HRH people of Pakistan are eagerly looking forward to his visit.,,,
95,Just concluded most cordial and highly productive talks with my brother President Erdogan. We have renewed commitment to inject greater substance to our existing strategic ties to the benefit of peoples of our two countries, Looking forward to hosting 7th session of HLSCC.  ,,
96,"Honourable Supreme Court's detailed judgement on Vote of No Confidence exposes the lies  & propaganda indulged in by Imran Khan & Co. Utterly shameful how IK tried to undermine the Constitution & manufactured the lie of ""regime change"". The judgement is a must read for everyone.",,,
97,آج معروف شاعر اور دانشور امجد اسلام امجد کی وفات کی صورت میں اردو ادب کا ایک عظیم دور ختم ہوگیا۔ انہوں نےاپنے ڈراموں اور تصانیف کے ذریعے ایک نسل کی فکری آبیاری کی۔ ان کی شاعری کا ترنم ایک لمبے عرصے تک ہمارے کانوں میں رس گھولتا رہے گا۔ اللہ تعالی ان کو کروٹ کروٹ جنت نصیب کریں۔,,,
98,"Deeply indebted to my brother His Highness Sheikh Tamim bin Hamad Al-Thani, Emir of Qatar, for humanitarian assistance for flood victims, which includes a field hospital with 93-member staff. This hospital will be deployed in Sindh. We gratefully acknowledge this gesture of HH.",,,
99,"I have appointed 
@MaryamNSharif
 as senior vice-president of PML-N. She has the drive, determination & experience to lead the party's organizational matters. I have no doubts that she will very effectively galvanise our party’s rank & file with the vision of our Quaid Nawaz Sharif",,,
100,"Deeply grieved to hear about the passing of HH Sheikh Khalifa bin Zayed Al-Nahyan, President of UAE. UAE has lost a visionary leader & Pakistan a great friend. We send our heartfelt condolences & sympathies to the government & people of the UAE. May Allah rest his soul in peace!",,,
101,ضلع کرم میں دھشتگردوں کے خلاف بھرپور کاروائی میں شہید ہونے والے صوبیدار شجاع محمد، نائیک محمد رمضان اور سپاہی عبدالرحمان کو مجھ سمیت پوری قوم خراجِ عقیدت پیش کرتی ہے۔ بلاشبہ پاک فوج کے جوانوں کی دھشتگردوں سے ملک و قوم کی حفاظت کیلئے قربانیاں ناقابلِ فراموش ہیں۔,,,
102,Zero tax has been announced for import of agricultural machinery and implants. This major step will enable our farmers & agriculture to progress.,,,
103,Our relationship with China has transformed into an Iron Brotherhood over last 71 years. This comprehensive strategic partnership has stood test of time & emerged as a factor of stability in the region & beyond. My congratulations to the govts & peoples of both countries.  ,,,
104,آج پنجاب کےتعلیمی اداروں میں بلوچستان سےتعلق رکھنے والےسکالر شپ پر زیر تعلیم طلبہ و طالبات کو درپیش مالی مسائل میرےعلم میں لائے گئے۔ میں نےہدایت جاری کی ہے کہ ان تمام طلباء کے تعلیمی اخراجات کا پچاس فیصد وفاقی حکومت ادا کرے گی تاکہ وہ بغیر کسی پریشانی کے اپنی تعلیم جاری رکھ سکیں۔,,,
105,پاکستان کی سری لنکا کے خلاف پہلے ٹیسٹ میچ میں شاندار جیت پرقوم اور پاکستانی کرکٹ ٹیم کو مبارک پیش کرتا ہوں۔ پاکستانی ٹیم کے کپتان بابراعظم کی اچھی حکمت عملی اوربہترین بلے بازی پر عبداللہ شفیق کو خاص طور پرسراہتا ہوں۔ پوری ٹیم نے بہترین کھیل کے ذریعے قوم اور کرکٹ شائقین کو خوش کیا,,,
106,ملک میں کرونا کیسز کی پھر سے بڑھتی ہوئی تعداد کے پیش نظر میری پوری قوم سے اپیل ہے کہ کرونا سے متعلقہ ہدایات اور SOPs پر عمل کریں۔ ہمارے فرنٹ لائن ورکرز اور ڈاکٹرز نے ہمیں محفوظ رکھنے کے لیے بہت سی قربانیاں دی ہیں۔ہمیں کرونا کے خلاف ان حاصل کی جانے والی کامیابیوں کو ضائع نہیں کرنا,,,
107,نامور عالم دین شیخ محمد مکی الحجازی کے بیٹے کی وفات کا سن کر بہت دکھ ہوا، اللہ تعالی سے دعا ہے کہ وہ مرحوم کو اپنے جوارِ رحمت میں جگہ دے اور غمزدہ خاندان کو صبر جمیل عطا فرمائے، إنا لله وإنا إليه راجعون۔,,,
108,"A team effort is a key to achieving goals. There can be no service delivery without effective & proactive approach by civil servants. In my meeting today, I asked them to embody values of public service & go beyond the call of duty. We will also address their concerns about NAB.",,,
109,موسمیاتی تبدیلی کو مدنظر رکھتے ہوئے ماہرین پر مشتمل ٹاسک فورس بنائی جا رہی ہے جو شسپر گلیشئیر جیسے واقعات سے مسقبل میں بچاؤ، غذائی اور پانی کی قلت سے بچنے کیلئے مؤثراقدامات، پانی کے بچاؤ اور موجودہ ذخائر کی حفاظت اور جنگلات کے تحفظ کیلئے جامع حکمتِ عملی اور اقدامات کرے گی۔,,,
110,لسبیلہ میں بس حادثے کے نتیجے میں 40 سے زیادہ قیمتی جانوں کا زیاں یقینا قیامت صغریٰ سے کم نہیں۔ میری ہمدردیاں اور دعائیں متاثرہ خاندانوں کے ساتھ ہیں۔ صوبائی حکومت کو اس المناک حادثے کی فی الفور تحقیقات کروانی چاہیے تاکہ وجوہات کا پتہ چلایا جا سکے۔,,,
111,"CPNEکےوفد سے ملاقات میں ملک کی سیاسی,معاشی,خارجی اورسیکورٹی صورت حال پر سیرحاصل گفتگو ہوئی۔ملک کودرپیش چیلنجز خصوصاً معاشی چیلنجز سے نمٹنے کے حوالے سےحکومتی کاوشوں اورحکمت عملی کے حوالے سےمدیران کوآگاہ کیاگیا۔ حکومت اورعوام کے درمیان روابط میں CPNEکا کردارانتہائی اہمیت کا حامل ہے",,,
112,Federal cabinet has given serious consideration to an energy conservation plan. The plan will be approved after taking provinces on board. Extraordinary times call for extraordinary measures. Its effective implementation will save precious resources & help address energy crisis.,,,
113,"Deeply grieved by the loss of precious lives in a tragic fire incident in Abu Sefein Church in Giza, Egypt. On behalf of the people of Pakistan, I extend my most sincere condolences to 
@AlSisiOfficial
 & families of the deceased and pray for the speedy recovery of those injured.",,,
114,اللہ تعالیٰ کے حضور سجدہ شکر بجا لاتے ہیں جس نے ہمیں ایک بار پھر سرخرو فرمایا۔ چوہدری شجاعت حسین چوہدری ظہور الٰہی شہید کے سیاسی وارث اور علمبردار ہیں۔ انہوں نے ایک بار پھر اپنے عظیم والد اور خاندان کی جمہوری روایت کو زندہ و جاوید کیا۔ ان کا یہ کردار جمہوریت اور آئینی اقدار ۔۔۔,,,
115,"#COP27 LIVE: In a Roundtable titled 'Climate Change and the Sustainability of Vulnerable Communities' led by 
@jonasgahrstore
, Prime Minister of Norway, 
@CMShehbaz
 Prime Minister of Pakistan and facilitated by Gim Huay Neo, Managing Director, Centre for Nature and Climate, 
@WEF
.",,,
